Task overview
Score	Task	Name	Time limit	Memory limit	Type	Files
0 / 100	A1-055	คํานวณราคาสินค้าโปรโมชั่น	1.000 second	8.00 MiB	Batch	A1-055[.cpp|.c|.py]
0 / 100	A1-056	หาระยะทางระหว่างจุด 2 จุดในพิกัด 3 มิติ	1.000 second	8.00 MiB	Batch	A1-056[.cpp|.c|.py]
0 / 100	A1-057	เกมทายลูกเต๋า	1.000 second	8.00 MiB	Batch	A1-057[.cpp|.c|.py]
0 / 100	A1-058	วิเคราะห์ยอดขายร้านกาแฟ	1.000 second	8.00 MiB	Batch	A1-058[.cpp|.c|.py]
0 / 100	A1-059	สงคราม...ส่งด่วน	1.000 second	8.00 MiB	Batch	A1-059[.cpp|.c|.py]
0 / 100	A1-060	กระดาษห่อของขวัญ	1.000 second	8.00 MiB	Batch	A1-060[.cpp|.c|.py]
0 / 100	A1-061	ฟิลเตอร์ AR TikTok	1.000 second	8.00 MiB	Batch	A1-061[.cpp|.c|.py]
0 / 100	A1-062	จงเขียนโปรแกรมหาจํานวนเฉพาะ พร้อมระบุจํานวน	1.000 second	8.00 MiB	Batch	A1-062[.cpp|.c|.py]
0 / 100	A1-063	ตั๋วหนังสุดป่วน	1.000 second	8.00 MiB	Batch	A1-063[.cpp|.c|.py]
0 / 100	A1-064	เกมสะสมแต้ม	1.000 second	8.00 MiB	Batch	A1-064[.cpp|.c|.py]
0 / 100	A1-065	MilCode	1.000 second	8.00 MiB	Batch	A1-065[.cpp|.c|.py]
0 / 100	A1-066	กบน้อยกระโดด	1.000 second	8.00 MiB	Batch	A1-066[.cpp|.c|.py]
0 / 100	A1-067	สหกรณ์โรงเรียน: คิดเงินสมาชิก	1.000 second	8.00 MiB	Batch	A1-067[.cpp|.c|.py]
0 / 100	A1-068	ผ่านหรือไม่? ค่าเฉลี่ยรายวิชา	1.000 second	8.00 MiB	Batch	A1-068[.cpp|.c|.py]
0 / 100	A1-069	โรงหนัง RYW	1.000 second	8.00 MiB	Batch	A1-069[.cpp|.c|.py]
0 / 100	A1-070	Smart Trash Collector	1.000 second	8.00 MiB	Batch	A1-070[.cpp|.c|.py]
0 / 100	A2-001	Beams	1.000 second	245 MiB	Batch	A2-001[.cpp|.c|.py]
0 / 100	A2-002	Bigsquare	1.000 second	245 MiB	Batch	A2-002[.cpp|.c|.py]
0 / 100	A2-003	Bird	1.000 second	245 MiB	Batch	A2-003[.cpp|.c|.py]
0 / 100	A2-004	Bowls	1.000 second	245 MiB	Batch	A2-004[.cpp|.c|.py]
0 / 100	A2-005	Bread	1.000 second	245 MiB	Batch	A2-005[.cpp|.c|.py]
0 / 100	A2-006	Broken	1.000 second	245 MiB	Batch	A2-006[.cpp|.c|.py]
0 / 100	A2-007	Buckets	1.000 second	245 MiB	Batch	A2-007[.cpp|.c|.py]
0 / 100	A2-008	Cars	5.000 seconds	245 MiB	Batch	A2-008[.cpp|.c|.py]
0 / 100	A2-009	Compet	1.000 second	245 MiB	Batch	A2-009[.cpp|.c|.py]
0 / 100	A2-010	Depth	6.000 seconds	245 MiB	Batch	A2-010[.cpp|.c|.py]
0 / 100	A2-011	ไม่ซ้ำกัน	1.000 second	8.00 MiB	Batch	A2-011[.cpp|.c|.py]
0 / 100	A2-012	กระต่ายน้อยจ่ายตลาด	1.000 second	8.00 MiB	Batch	A2-012[.cpp|.c|.py]
0 / 100	A2-013	ชานมไข่มุก	1.000 second	8.00 MiB	Batch	A2-013[.cpp|.c|.py]
0 / 100	A2-014	บุพเพสันนิวาส	1.000 second	8.00 MiB	Batch	A2-014[.cpp|.c|.py]
0 / 100	A2-015	กระต่ายน้อยล้อมรั้วลวดหนาม	1.000 second	8.00 MiB	Batch	A2-015[.cpp|.c|.py]
0 / 100	A2-016	สลากกินแบ่ง	1.000 second	8.00 MiB	Batch	A2-016[.cpp|.c|.py]
0 / 100	A2-017	กระต่ายน้อยกินราเมน	1.000 second	8.00 MiB	Batch	A2-017[.cpp|.c|.py]
0 / 100	A2-018	ไฟคริสต์มาส	1.000 second	8.00 MiB	Batch	A2-018[.cpp|.c|.py]
0 / 100	A2-019	กระต่ายน้อยรัก BUU	1.000 second	8.00 MiB	Batch	A2-019[.cpp|.c|.py]
0 / 100	A2-020	Next	1.000 second	245 MiB	Batch	A2-020[.cpp|.c|.py]
0 / 100	A2-021	Shipment	1.000 second	245 MiB	Batch	A2-021[.cpp|.c|.py]
0 / 100	A2-022	Under	1.000 second	245 MiB	Batch	A2-022[.cpp|.c|.py]
0 / 100	A2-023	พูดจาภาษากระต่าย	1.000 second	8.00 MiB	Batch	A2-023[.cpp|.c|.py]
0 / 100	A2-024	Rally	1.000 second	8.00 MiB	Batch	A2-024[.cpp|.c|.py]
0 / 100	A2-025	ไข้หวัดกระต่ายสายพันธุ์ใหม่	1.000 second	8.00 MiB	Batch	A2-025[.cpp|.c|.py]
0 / 100	A2-026	กระต่ายอ้วน	1.000 second	8.00 MiB	Batch	A2-026[.cpp|.c|.py]
0 / 100	A2-027	คะแนนสอบ	1.000 second	8.00 MiB	Batch	A2-027[.cpp|.c|.py]
0 / 100	A2-028	รหัสแฝดเทค	1.000 second	8.00 MiB	Batch	A2-028[.cpp|.c|.py]
0 / 100	A2-029	สามเหลี่ยม	1.000 second	8.00 MiB	Batch	A2-029[.cpp|.c|.py]
0 / 100	A2-030	Array	1.000 second	8.00 MiB	Batch	A2-030[.cpp|.c|.py]
0 / 100	A2-031	DNA	1.000 second	8.00 MiB	Batch	A2-031[.cpp|.c|.py]
